sample_id,experiment_id,flowrate,T_set,TOP_fraction,oleylamine_fraction,ODE_extra_fraction,r0_sphere,sigma_sphere,I0_sphere,I0_fraction_sphere,disordered_flag,crystalline_flag,dilute_sphere_flag
R0_20190424_7_1556179937,R0_20190424,22.613160323713448,250.64318226834095,0.0017085212108696145,0.042435273982297156,0.29788693998299975,20.620283694675265,2.1676770756151598e-07,1.4962152228013657,0.8527505842285464,False,False,True
R0_20190424_8_1556184889,R0_20190424,25.12855873475476,249.8610953968539,0.001805825545851837,0.04327774548945345,0.2975572850372724,20.636460383179127,0.1368204470765121,2.252209929812256,0.8858814970954993,False,False,True
R0_20190424_9_1556190799,R0_20190424,20.892260358192132,246.35606912881744,0.006581684179226573,0.03587191161016728,0.2978486946314792,,,,,False,False,False
R2_201811_1541553160,R2_201811,80.0,290.0,0.1,0.0,0.0,29.494955555817167,0.001318580561471272,30.07996022638862,0.18930951062465573,True,False,True
R2_201811_1541554846,R2_201811,80.0,290.0,0.1,0.0,0.0,26.740707912269638,0.013291438870714267,31.294800187345224,0.24836596056220941,True,False,True
R2_201811_1541556601,R2_201811,80.0,290.0,0.1,0.1,0.1,,,,,False,False,False
R2_201811_1541560001,R2_201811,80.0,290.0,0.1,0.1,0.1,22.379125146144943,1.1792969556445598e-07,2.0456830227929594,0.9105091388239456,False,False,True
R2_201811_1541561694,R2_201811,80.0,290.0,0.1,0.1,0.1,,,,,True,False,False
R2_201811_1541563439,R2_201811,80.0,290.0,0.1,0.1,0.1,21.98492495062474,1.0362426350329912e-07,4.4015760750668225,0.9581335216150509,False,False,True
R2_201811_1541566840,R2_201811,80.0,290.0,0.1,0.1,0.1,22.740843545869776,8.175472521187999e-10,3.543801935695609,0.9348439333700246,False,False,True
R2_201811_1541568535,R2_201811,80.0,290.0,0.1,0.1,0.1,22.755160096392828,0.046648478674712,3.5423158441181988,0.9445535980980468,False,False,True
R2_201811_1541570304,R2_201811,80.0,290.0,0.1,0.0,0.0,27.478368938959328,0.057963957734777694,42.31041311278526,0.3185587165355454,True,False,True
